experiment,label,SPI_max_pairwise_distance,PFSI_max_pairwise_distance,TFSI_max_pairwise_distance,PPR_max_pairwise_distance,PPD_max_pairwise_distance
1.0,normal,0.6123,52.5,56.5,0.0,0.0
1.0,compromised,0.8706,71.0,77.0,0.0,0.0
2.0,normal,0.6522,40.0,47.0,0.0,0.0
2.0,compromised,0.2959,88.0,83.0,0.01,0.01
3.0,normal,0.4471,90.0,93.5,0.0,0.0
3.0,compromised,0.896,78.33,64.33,0.2,0.11
4.0,normal,0.4436,32.5,43.5,0.0,0.0
4.0,compromised,1.294,52.33,53.33,0.1400000000000001,0.12
5.0,normal,0.2053,34.0,70.5,0.0,0.0
5.0,compromised,0.5673,20.0,26.0,0.0,0.0
6.0,normal,0.4962,63.0,81.0,0.0,0.0
6.0,compromised,2.8331000000000004,20.340000000000003,67.83,0.0,0.0
7.0,normal,0.3529,44.0,35.0,0.0,0.0
7.0,compromised,1.1409,86.5,60.5,0.02,0.02
8.0,normal,0.6003999999999999,24.0,28.5,0.0,0.0
8.0,compromised,1.5704,61.0,70.0,0.0,0.0
9.0,normal,0.1809,76.5,47.5,0.0,0.0
9.0,compromised,1.0394,55.17,67.33,0.02,0.02
10.0,normal,0.358,74.0,66.5,0.0,0.0
10.0,compromised,0.5126,44.5,75.5,0.01,0.0
11.0,normal,0.6187,23.5,40.5,0.0,0.0
11.0,compromised,0.5574,84.0,126.0,0.28,0.25
12.0,normal,0.3064,23.5,41.5,0.0,0.0
12.0,compromised,0.2553,81.0,114.0,0.1699999999999999,0.17
13.0,normal,0.3889999999999999,30.0,39.5,0.0,0.0
13.0,compromised,0.4475,37.5,59.5,0.02,0.0
14.0,normal,0.3550999999999999,73.5,51.0,0.0,0.0
14.0,compromised,0.4579,60.0,90.0,0.0,0.0
15.0,normal,0.3291,27.5,40.0,0.0,0.0
15.0,compromised,0.3071,57.5,64.5,0.0,0.0
16.0,normal,0.2368999999999999,103.0,93.0,0.0,0.0
16.0,compromised,0.3703999999999999,48.0,74.0,0.01,0.01
17.0,normal,0.4303,31.0,49.5,0.0,0.0
17.0,compromised,1.2664,129.67,127.67,0.07,0.07
18.0,normal,0.7026,41.5,41.5,0.0,0.0
18.0,compromised,0.6871,69.0,45.0,0.0,0.0
19.0,normal,0.4229,49.5,58.0,0.0,0.0
19.0,compromised,0.6382,62.5,44.5,0.01,0.01
20.0,normal,0.5491,90.0,89.5,0.0,0.0
20.0,compromised,1.0165,95.0,135.0,0.0,0.0
21.0,normal,0.2338,65.5,52.0,0.0,0.0
21.0,compromised,0.6228,120.67,141.67,0.1400000000000001,0.12
22.0,normal,0.2024999999999999,76.5,61.5,0.0,0.0
22.0,compromised,0.7566999999999999,62.0,74.0,0.1200000000000001,0.1
23.0,normal,0.4826,66.5,65.5,0.0,0.0
23.0,compromised,0.9039,97.83,86.33,0.05,0.02
24.0,normal,0.7263000000000001,62.0,47.0,0.0,0.0
24.0,compromised,1.0971,75.5,68.5,0.03,0.03
25.0,normal,0.3267,100.5,85.0,0.0,0.0
25.0,compromised,0.4049999999999999,91.0,92.0,0.0,0.0
26.0,normal,0.3826,16.0,41.0,0.0,0.0
26.0,compromised,0.6513000000000001,61.5,72.5,0.0,0.0
27.0,normal,0.5021,61.0,98.5,0.0,0.0
27.0,compromised,1.2679,41.0,76.5,0.0,0.0
28.0,normal,0.4383,46.5,62.5,0.0,0.0
28.0,compromised,1.0758,89.5,78.0,0.1200000000000001,0.12
29.0,normal,0.2759,49.5,53.5,0.0,0.0
